depth,SUM FriendsCount,STD FriendsCount,STD WordCount,SUM WordCount,STD CharCount,STD HashTag,SUM HashTag,Ratio HashTag,SUM Url,STD Url,RATIO Url,SUM Mention,STD Mention,Ratio Mention,STD Statues,STD Listed,STD Follower,STD followers/friend,STD favorite,Tweets Count,Ratio Verified,SUM Verified,SUM RT,STD RT,STD AccAge,thread_time,STD Emoji,RATIO Emoji,Ratio Media,RATIO Question,RATIO Exclaim,RATIO Period,STD FPP,STD SPP,STD TPP,Mean Skepticism,Ratio Skepticism,test_auxiliary,test_tentat,test_certain,root_user_ratio,unique_user_ratio,unique_user_sum,NodeThreadCount_0,NodeThreadCount_25,NodeThreadCount_5,NodeThreadCount_75,NodeThreadRatio_0,NodeThreadRatio_25,NodeThreadRatio_5,NodeThreadRatio_75
2,29671.0,653.1630094375422,4.95296436042888,355.0,19.47596003771269,0.0,0.0,0.0,5.0,0.44034738238635557,0.2631578947368421,32.0,0.5668594533825794,0.9473684210526315,38820.88254779216,1599.1313587360717,43097.18374612946,23.368845478914817,2704.1205952963373,19,0.05263157894736842,1.0,179.0,39.50125353037437,955.3555327237169,4533.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.42105263157894735,0.22329687826943606,1.2070889411768122,1.1815760168759815,6.0,1.0,0.4993069989739547,0.0,0.0,0.05263157894736842,0.5789473684210527,11,7,0,1,11,0.3684210526315789,0.0,0.05263157894736842,0.5789473684210527
4,14245.0,1781.217626898802,5.8081300777444715,101.0,33.06716649487827,0.4330127018922193,2.0,0.25,1.0,0.33071891388307384,0.125,14.0,0.9682458365518543,0.875,15093.42960322471,78.35406418942159,2230.027098349928,4.466204658150465,1539.4853035998751,8,0.0,0.0,136.0,44.223862336978215,388.1995097562592,24271.0,0.0,0.0,0.0,0.0,0.125,1.0,0.6959705453537527,0.0,0.6959705453537527,2.75,1.0,0.4841229182759271,0.33071891388307384,0.0,0.125,1.375,11,7,0,0,1,0.875,0.0,0.0,0.125
2,5478.0,554.6821115719879,4.898979485566356,105.0,34.8495307847662,0.9035079029052514,4.0,0.2857142857142857,0.0,0.0,0.0,10.0,0.7284313590846835,0.8571428571428571,9999.513984107796,262.15885509767253,6914.4069027159885,5.736023629141935,1188.7851456209314,7,0.0,0.0,149.0,51.73204115084436,653.8094960635377,16377.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.8571428571428571,0.0,0.0,0.45175395145262565,3.7142857142857144,1.0,0.45175395145262565,0.0,0.0,0.14285714285714285,1.5714285714285714,11,5,0,1,1,0.7142857142857143,0.0,0.14285714285714285,0.14285714285714285
3,18718.0,3140.2555564794407,5.5578772926361015,159.0,34.54287191303005,0.66332495807108,6.0,0.5,5.0,0.6708203932499369,0.4,12.0,0.6000000000000001,0.9,81579.49781930506,30652.24375082516,4620655.402771711,1490.0922156821114,8067.851798341365,10,0.1,1.0,685.0,205.16688329260157,687.9401209407691,110654.0,0.30000000000000004,0.1,0.0,0.3,0.1,0.7,0.4000000000000001,0.66332495807108,0.6403124237432849,5.0,1.0,0.4,0.0,0.0,0.1,1.1,11,8,0,0,2,0.8,0.0,0.0,0.2
2,3062.0,409.296274109599,5.0990195135927845,75.0,21.92167876783163,0.7999999999999999,3.0,0.4,3.0,0.48989794855663565,0.6,5.0,0.6324555320336759,0.8,36971.32692560548,5429.702408051476,336609.0716691991,367.5421202792885,2376.6394762352998,5,0.2,1.0,115.0,45.00222216735525,464.60589750884566,1330.0,0.0,0.0,0.2,0.2,0.2,1.0,0.0,0.0,0.48989794855663565,3.2,0.8,0.0,0.0,0.0,0.2,2.2,11,4,0,0,1,0.8,0.0,0.0,0.2
4,13664.0,648.275810438736,7.81424340547439,344.0,43.6239567210495,0.2712931993250107,2.0,0.08,5.0,0.4,0.2,33.0,0.5455272678794343,0.96,23881.467306545466,2880.724368349044,350224.0375312602,4206.702988227947,2780.1966836898428,25,0.04,1.0,512.0,99.92321852302398,698.2681043839823,10175.0,0.0,0.0,0.04,0.24,0.08,0.6,0.36660605559646714,0.6144916598294886,0.6013318551349163,3.72,0.88,0.48000000000000004,0.2712931993250107,0.19595917942265428,0.04,0.44,11,20,2,2,1,0.8,0.08,0.08,0.04
3,26970.0,1270.5463820119035,6.538565168836369,289.0,39.08395521893294,0.42591770999996,2.0,0.047619047619047616,2.0,0.2935435239509036,0.09523809523809523,26.0,0.5259695722470125,0.9523809523809523,58736.30000032255,9509.898426700876,1006565.3040780181,592.5591005046588,27581.7027726124,21,0.09523809523809523,2.0,119.0,24.227755302217474,880.7804774364079,758508.0,0.0,0.0,0.0,0.23809523809523808,0.14285714285714285,0.47619047619047616,0.34992710611188255,0.5259695722470125,0.642416074439621,2.761904761904762,0.8571428571428571,0.4714045207910317,0.0,0.2935435239509036,0.047619047619047616,0.5238095238095238,11,20,0,0,1,0.9523809523809523,0.0,0.0,0.047619047619047616
5,24409.0,955.5637653968306,5.489483648488564,343.0,34.215287095920175,0.4475202212442434,4.0,0.1111111111111111,4.0,0.4475202212442435,0.1111111111111111,48.0,1.0657403385139377,0.9629629629629629,25448.391613781703,1439.7615238440837,154364.12665008812,13.887466912662493,5780.4972446202,27,0.037037037037037035,1.0,218.0,40.38694868571605,689.0184665071965,8081.0,0.5665577237325315,0.037037037037037035,0.037037037037037035,0.25925925925925924,0.2222222222222222,0.48148148148148145,0.438228132081453,0.2618914004394621,0.4743054990690999,2.962962962962963,0.8888888888888888,0.4996569467863719,0.18885257457751053,0.18885257457751053,0.037037037037037035,0.4074074074074074,11,21,5,0,1,0.7777777777777778,0.18518518518518517,0.0,0.037037037037037035
3,6880.0,391.54125651782283,4.6785562825394,52.0,45.47313003912921,1.2133516482134197,5.0,0.3333333333333333,2.0,0.4714045207910317,0.3333333333333333,7.0,0.8975274678557507,0.8333333333333334,19780.845106791796,200.6102495442898,3504.8429549537436,2.089726500233975,20873.46341383933,6,0.16666666666666666,1.0,202.0,73.94066690409427,274.4382140543356,83555.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.5,1.6666666666666667,0.8333333333333334,0.37267799624996495,0.0,0.0,0.16666666666666666,1.8333333333333333,11,3,1,0,2,0.5,0.16666666666666666,0.0,0.3333333333333333
2,4025.0,1091.3652860064774,2.5495097567963922,64.0,15.580436450882884,2.345207879911715,8.0,0.75,1.0,0.4330127018922193,0.25,4.0,0.7071067811865476,0.75,16021.835824508376,10785.048849564846,867289.8180905273,173.7068765364523,4846.612083455823,4,0.25,1.0,109.0,47.198384506251905,708.3743713602292,4111.0,0.0,0.0,0.5,0.25,0.25,0.5,0.4330127018922193,1.299038105676658,0.8660254037844386,5.75,1.0,0.5,0.0,0.0,0.25,2.75,11,2,1,0,1,0.5,0.25,0.0,0.25
2,927.0,50.91168824543142,8.178562764256865,26.0,56.811579414372524,0.4714045207910317,1.0,0.3333333333333333,1.0,0.4714045207910317,0.3333333333333333,2.0,0.4714045207910317,0.6666666666666666,67348.14967185231,3092.885060909959,594599.021231956,1104.2698508840242,78.25315045131126,3,0.3333333333333333,1.0,142.0,66.9394419523265,370.0525488209599,379.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.3333333333333333,0.4714045207910317,0.0,0.0,0.3333333333333333,3.6666666666666665,11,1,0,0,2,0.3333333333333333,0.0,0.0,0.6666666666666666
