,Acc,F1,Loss,Train_size,Test_size,Features,CV,layers
0,70.8994708994709,44.90384715492945,0.6390231881020102,4346,2079,W2V,9,"[200, 36, 8]"
1,63.77952755905512,39.43861815252898,0.6630501759125284,5282,1143,W2V,9,"[200, 36, 8]"
2,60.76759061833689,39.75443651349833,0.8070829824598105,5956,469,W2V,9,"[200, 36, 8]"
3,69.10112359550563,44.97417688428927,0.6388935421876023,5535,890,W2V,9,"[200, 36, 8]"
4,72.48157248157248,47.75074593256415,0.581238875322709,5204,1221,W2V,9,"[200, 36, 8]"
5,85.71428571428571,67.34693877551021,0.34177341950791224,6411,14,W2V,9,"[200, 36, 8]"
6,43.776824034334766,29.831494209176608,0.8825596744922097,6192,233,W2V,9,"[200, 36, 8]"
7,61.76470588235294,41.28627674846163,0.738430152670676,6187,238,W2V,9,"[200, 36, 8]"
8,63.76811594202898,47.31896123200471,0.6924963256587153,6287,138,W2V,9,"[200, 36, 8]"
0,76.47907647907648,48.72576197251531,0.5407716785846507,4346,2079,BERT + W2V,9,"[968, 80, 12]"
1,72.87839020122485,47.2164813897098,0.6185443547610535,5282,1143,BERT + W2V,9,"[968, 80, 12]"
2,66.09808102345416,43.54601569953379,0.6876974486465901,5956,469,BERT + W2V,9,"[968, 80, 12]"
3,70.0,44.027029150624706,0.6451333149430457,5535,890,BERT + W2V,9,"[968, 80, 12]"
4,71.9082719082719,45.76528940165312,0.652421413827001,5204,1221,BERT + W2V,9,"[968, 80, 12]"
5,78.57142857142857,64.83516483516483,0.30406380125454496,6411,14,BERT + W2V,9,"[968, 80, 12]"
6,39.48497854077253,28.234721882790552,1.02995190062748,6192,233,BERT + W2V,9,"[968, 80, 12]"
7,61.76470588235294,47.73461832285363,0.8594648540019989,6187,238,BERT + W2V,9,"[968, 80, 12]"
8,60.14492753623188,39.29220537916189,0.9347134128860806,6287,138,BERT + W2V,9,"[968, 80, 12]"
