,Acc,F1,Train_size,Test_size,Features,CV,CLF
0,74.17027417027417,66.4760489156138,4346,2079,RP,9,RandomForestClassifier
1,73.92825896762905,50.874870197300105,5282,1143,RP,9,RandomForestClassifier
2,67.590618336887,67.59047099472633,5956,469,RP,9,RandomForestClassifier
3,58.31460674157304,54.58652821235774,5535,890,RP,9,RandomForestClassifier
4,65.35626535626535,59.02362744468008,5204,1221,RP,9,RandomForestClassifier
5,50.0,33.33333333333333,6411,14,RP,9,RandomForestClassifier
6,52.36051502145923,35.16257614881296,6192,233,RP,9,RandomForestClassifier
7,52.52100840336135,36.694677871148464,6187,238,RP,9,RandomForestClassifier
8,42.028985507246375,30.600955494091025,6287,138,RP,9,RandomForestClassifier
0,74.65127465127465,67.52299125702336,4346,2079,RP,9,RandomForestClassifier
1,74.45319335083114,50.74439197166469,5282,1143,RP,9,RandomForestClassifier
2,64.60554371002132,64.59765724471606,5956,469,RP,9,RandomForestClassifier
3,59.7752808988764,56.50618922032751,5535,890,RP,9,RandomForestClassifier
4,64.94676494676494,58.75755260781999,5204,1221,RP,9,RandomForestClassifier
5,57.14285714285714,36.36363636363637,6411,14,RP,9,RandomForestClassifier
6,50.64377682403433,34.379056155560455,6192,233,RP,9,RandomForestClassifier
7,52.10084033613446,35.77312754474008,6187,238,RP,9,RandomForestClassifier
8,43.47826086956522,30.303030303030297,6287,138,RP,9,RandomForestClassifier
0,74.65127465127465,67.52299125702336,4346,2079,RP,9,RandomForestClassifier
1,74.45319335083114,50.74439197166469,5282,1143,RP,9,RandomForestClassifier
2,64.60554371002132,64.59765724471606,5956,469,RP,9,RandomForestClassifier
3,59.7752808988764,56.50618922032751,5535,890,RP,9,RandomForestClassifier
4,64.94676494676494,58.75755260781999,5204,1221,RP,9,RandomForestClassifier
5,57.14285714285714,36.36363636363637,6411,14,RP,9,RandomForestClassifier
6,50.64377682403433,34.379056155560455,6192,233,RP,9,RandomForestClassifier
7,52.10084033613446,35.77312754474008,6187,238,RP,9,RandomForestClassifier
8,43.47826086956522,30.303030303030297,6287,138,RP,9,RandomForestClassifier
0,70.65897065897066,63.37793163672656,4346,2079,RP,9,LogisticRegression
1,69.02887139107612,56.97451362364211,5282,1143,RP,9,LogisticRegression
2,63.11300639658849,62.72254051098747,5956,469,RP,9,LogisticRegression
3,62.13483146067416,60.64793858596037,5535,890,RP,9,LogisticRegression
4,66.58476658476658,63.721897593344565,5204,1221,RP,9,LogisticRegression
5,28.57142857142857,22.222222222222225,6411,14,RP,9,LogisticRegression
6,30.472103004291846,24.988076311605724,6192,233,RP,9,LogisticRegression
7,62.60504201680672,62.58853035200198,6187,238,RP,9,LogisticRegression
8,50.72463768115942,50.63131313131313,6287,138,RP,9,LogisticRegression
0,72.2943722943723,66.29703763911749,4346,2079,RP,9,SVC
1,71.0411198600175,56.01929727687522,5282,1143,RP,9,SVC
2,64.60554371002132,64.07490125143048,5956,469,RP,9,SVC
3,63.48314606741573,62.21576918504934,5535,890,RP,9,SVC
4,67.64946764946765,65.0329699808234,5204,1221,RP,9,SVC
5,35.714285714285715,26.31578947368421,6411,14,RP,9,SVC
6,23.605150214592275,19.760872929887014,6192,233,RP,9,SVC
7,57.56302521008403,56.392068646481505,6187,238,RP,9,SVC
8,52.89855072463768,52.59736828198489,6287,138,RP,9,SVC
0,56.22895622895623,54.78922716627635,4346,2079,RP,9,GaussianNB
1,53.28083989501312,47.44094488188976,5282,1143,RP,9,GaussianNB
2,58.63539445628998,55.98928101540128,5956,469,RP,9,GaussianNB
3,66.51685393258427,65.83202786824423,5535,890,RP,9,GaussianNB
4,63.8001638001638,63.67734553775743,5204,1221,RP,9,GaussianNB
5,78.57142857142857,44.0,6411,14,RP,9,GaussianNB
6,56.22317596566524,38.53196772191186,6192,233,RP,9,GaussianNB
7,57.14285714285714,56.99404761904761,6187,238,RP,9,GaussianNB
8,49.275362318840585,44.09722222222222,6287,138,RP,9,GaussianNB
0,71.66907166907167,64.11236399604351,4346,2079,thread,9,RandomForestClassifier
1,71.74103237095363,49.764257810108134,5282,1143,thread,9,RandomForestClassifier
2,55.437100213219615,55.397356266921484,5956,469,thread,9,RandomForestClassifier
3,54.044943820224724,48.10969081923139,5535,890,thread,9,RandomForestClassifier
4,61.17936117936118,51.69643453295052,5204,1221,thread,9,RandomForestClassifier
5,78.57142857142857,44.0,6411,14,thread,9,RandomForestClassifier
6,45.06437768240343,31.06508875739645,6192,233,thread,9,RandomForestClassifier
7,52.52100840336135,35.97124014951313,6187,238,thread,9,RandomForestClassifier
8,43.47826086956522,31.352040816326532,6287,138,thread,9,RandomForestClassifier
0,80.13468013468014,74.5777074289917,4346,2079,W2V,9,RandomForestClassifier
1,75.59055118110236,64.93899723929111,5282,1143,W2V,9,RandomForestClassifier
2,56.50319829424307,52.44542526541811,5956,469,W2V,9,RandomForestClassifier
3,62.92134831460674,61.61807831637054,5535,890,W2V,9,RandomForestClassifier
4,66.91236691236692,61.63101105137396,5204,1221,W2V,9,RandomForestClassifier
5,28.57142857142857,22.222222222222225,6411,14,W2V,9,RandomForestClassifier
6,1.2875536480686696,1.271186440677966,6192,233,W2V,9,RandomForestClassifier
7,50.0,38.47724557401977,6187,238,W2V,9,RandomForestClassifier
8,52.89855072463768,47.29420059933016,6287,138,W2V,9,RandomForestClassifier
0,82.29918229918229,76.25356938892061,4346,2079,BERT,9,RandomForestClassifier
1,76.9028871391076,62.849404117009755,5282,1143,BERT,9,RandomForestClassifier
2,59.70149253731343,56.11940298507463,5956,469,BERT,9,RandomForestClassifier
3,73.70786516853933,73.42388557952928,5535,890,BERT,9,RandomForestClassifier
4,70.18837018837019,66.82065217391305,5204,1221,BERT,9,RandomForestClassifier
5,14.285714285714285,12.5,6411,14,BERT,9,RandomForestClassifier
6,2.575107296137339,2.567928525375334,6192,233,BERT,9,RandomForestClassifier
7,49.57983193277311,40.72229140722291,6187,238,BERT,9,RandomForestClassifier
8,51.449275362318836,38.666666666666664,6287,138,BERT,9,RandomForestClassifier
0,73.73737373737373,66.17549953038662,4346,2079,RPT,9,RandomForestClassifier
1,73.49081364829397,48.76888462204129,5282,1143,RPT,9,RandomForestClassifier
2,62.68656716417911,62.618588911509796,5956,469,RPT,9,RandomForestClassifier
3,56.17977528089888,50.812284600036286,5535,890,RPT,9,RandomForestClassifier
4,63.06306306306306,54.64611481964972,5204,1221,RPT,9,RandomForestClassifier
5,50.0,33.33333333333333,6411,14,RPT,9,RandomForestClassifier
6,59.227467811158796,38.15829910876428,6192,233,RPT,9,RandomForestClassifier
7,52.10084033613446,35.77312754474008,6187,238,RPT,9,RandomForestClassifier
8,44.20289855072464,30.65326633165829,6287,138,RPT,9,RandomForestClassifier
0,83.5016835016835,77.24744993923376,4346,2079,RPT + BERT,9,RandomForestClassifier
1,75.94050743657043,59.21167883211679,5282,1143,RPT + BERT,9,RandomForestClassifier
2,62.68656716417911,59.783913565426175,5956,469,RPT + BERT,9,RandomForestClassifier
3,70.56179775280899,69.77043263621326,5535,890,RPT + BERT,9,RandomForestClassifier
